title,agency,date,links,标题,来信日期,信件内容,回复日期,回复单位,回复内容
致谢信,上海市浦东新区退役军人事务局,2024-01-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=90C6567FA2BA4EBE823D7DCB8F955011,致谢信,2024-01-22,我是一名驻沪部队军人家属，2024年1月在浦东新区退役军人事务局的协调帮助下，我终于随调到上海浦东，一家人团聚浦东。2023年3月24日，我爱人第一次接到浦东新区退役军人事务局于同志的电话，核对和增补了我的随调材料。接到电话后，我们万分惊喜，因为当时我爱人正陪产在家，我们也正在为他初为人父却无法时常陪伴而烦恼忧愁。这一通电话无疑成为我们整个家庭的一束光，照亮了我们团聚的希望。接下来的这一阶段很顺利，在浦东新区退役军人事务局规范的随调流程下，由局里同志指导帮助我完善资料，查阅档案及对接接收单位。这期间我爱人工作无法联络，浦东退役局的同志给予我莫大的关怀和帮助，使我非常踏实和安心。2023年8月，由于机构改革人事冻结，原定的随调工作暂停，尽管退役局的同志及时进行了解释和宽慰，但原单位已签字盖章同意了我的工作关系调出，所以我在原单位的处境变得有些尴尬。这之后我逐渐开始焦虑不安，因为我原单位已经将我列入出编人员，年度考核和职级晋升都不同程度的受到了影响，且初为人母力不从心，寝食难安。我不断打电话、发微信给退役局的同志询问进展和诉说不安，很感恩他们一直耐心安慰我，积极为我们奔走，想办法解决问题，否则在我爱人出任务失联的期间我恐怕早就情绪崩溃了。直到2023年12月28日终于收到了浦东退役局的好消息，上海市公务员局同意了我的转任申请，我高兴得手足无措，已经不知道如何回复消息。估计是见我迟迟未回复，局里同志又打来电话亲口告诉了我这个消息，我兴奋得语无伦次，激动的心情久久不能平复。2024年1月11日，我拿着商调函和介绍信赶赴上海，直到在新单位顺利报道，那种不真实的感觉才终于真实起来，我们一家人终于在2024年伊始团聚浦东。我爱人曾对我说，所爱隔山海，山海皆可平。感谢浦东新区退役军人事务局替我们造船架路，让海有舟可渡，山有路可行，圆我们一家人团聚的梦想。随调军属及家人敬上2024年1月22日,2024-01-29,上海市浦东新区退役军人事务局,告知书陈女士：您提出的信访事项收悉，已按规定办理。感谢您对我们工作的关心和支持，欢迎今后继续就您所关注的问题建言献策。祝身体健康，生活幸福！此复。上海市浦东新区退役军人事务局2024年1月23日
感谢信,上海市嘉定区南翔镇人民政府,2024-01-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D07498E3AA234355B5F97F100A5EE486,感谢信,2024-01-25,我今天来是感谢嘉定区南翔镇真南路4889弄绿地新翔家园居委会书记，居委会助残员老师，居委会工作人员在春节百忙之中抽空来看望我这位社区孤儿，也非常感谢嘉定南翔镇人民政府，嘉定区人民政府对社区孤儿的关心和照顾。,2024-01-29,上海市嘉定区南翔镇人民政府,伍先生：您的来信收悉。感谢您对我们工作的认可。祝您身体健康，生活幸福！此复。上海市嘉定区南翔镇人民政府2024年1月25日
迎宾三路虹桥机场新村小区路面问题,上海市长宁区人民政府程家桥街道办事处,2024-01-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=205CC8D60C4B490B9D07B7430BF95617,迎宾三路虹桥机场新村小区路面问题,2024-01-11,"本人反映,迎宾三路虹桥机场新村小区路面有许多大坑，和突起的窨井盖(突出地面接近10CM)，几乎已经到达了一米一坑的密度，走路骑车都十分容易绊倒。且小区内路面一直处于施工状态很久了，每天工程车辆开来开去非常危险，扬起的风沙也非常大，小区环境特别脏。本人希望,提高施工效率尽快完成施工。重新修整路面，保证路面基础的平整，以确保居民生活环境的安全性。",2024-01-29,上海市长宁区人民政府程家桥街道办事处,王**女士：    您反映的信访事项本机关已受理。经研究，现答复如下：    您反映的机场新村小区正在进行精品小区项目施工工程，该工程地面施工已于2024年1月21日完工，路面已修复平整。    对于施工造成的扬尘问题，已联系施工队，要求安排工人定时并多次洒水，减少扬尘对居民的影响。    感谢您对程家桥街道工作的理解、支持、关注。    上海市长宁区人民政府程家桥街道办事处
酒店赔付问题,上海市闵行区文化和旅游局,2024-01-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=38F9128E0B1A46238E52D48A6A75A038,酒店赔付问题,2023-12-04,本人反映，11月2日在酒店办理入住，进到房间发现酒店气味刺鼻，当时立刻打电话给前台，问他怎么回事，前台说是，刚做完杀虫，等酒店工作人员过来的时候，我已经呕吐，咳嗽，头晕。后面我要求就医，产生了医药费。本人认为，是酒店没有在消杀，之后散味，导致我身体不适去就医的。本人要求，要求酒店赔偿我的损失。,2024-01-29,上海市闵行区文化和旅游局,李同志：您反映的信访事项本机关已受理。经研究，现答复如下：我局在接到您的信访事项后立即核实。经协调，酒店已免去您当天的房费并支付您看病的相关医药费，双方已达成谅解，问题已解决。感谢您对我局工作的理解和支持。特此告知。
退押金事宜,上海市闵行区颛桥镇人民政府,2024-01-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=82FF537C5B6648EFA0E1AFA98FDF8C65,退押金事宜,2024-01-15,"本人反映,于2023年2月1日租的合租房于2024年1月31日到期，租金以交全，本人在2024年1月12号要求退租退押金，房东也同意了，但是一直拖时间不解决，我只想回家，希望能帮我一下。",2024-01-29,上海市闵行区颛桥镇人民政府,钟同志：您好！您于2024年1月15日反映租的合租房到期后，要求房东退租退押金的事项已收悉。经了解，居委工作人员于1月15日与房东进行沟通，房东表示正在核算水电费及房租并承诺在当日退还押金，第二天房东告知已完成退款。同时您回复表示房东已经退还押金，该事项已化解。特此告知。
要求退费,上海市青浦区卫生健康委员会,2024-01-29,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=990DDA59A5094334BAFBE915CBDF28C1,要求退费,2024-01-16,本人于23年12月了解到某医疗美容门诊部有限公司，自称是医院的工作人员，在对方的劝说下，对方带我坐飞机到该门诊部做双眼皮手术，前后共计支付18580元，但双眼皮失败，要求对方退费，对方一直未置可否，望贵局介入协商，达成我退费的诉求。,2024-01-29,上海市青浦区卫生健康委员会,马女士：您好！您来信反映的事项收悉。经医患双方协商，门诊部已退还您手术费用18580元，您的诉求已解决。特此告知。
建议将垃圾清运时间改到8-19点期间,上海市杨浦区绿化和市容管理局,2024-01-26,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1CA4B5917B3D4612B6B6E401F92A9479,建议将垃圾清运时间改到8-19点期间,2024-01-18,建议将五角场街道小区垃圾清运时间调整，目前林绿家园小区是早上6点就开始进行垃圾清运，车辆操作声音特别大，离居民楼特别近，影响垃圾站周围居民休息，建议清运车操作时间放到白天，限制8点以后才可以开始清运，还小区居民一个安静的早晨。,2024-01-26,上海市杨浦区绿化和市容管理局,徐同志：您所提的建议本机关已受理。经研究，现答复如下：接到该信访单后，负责该小区垃圾清运的海杰保洁分公司随即就你反映的情况进行核实，据了解，你反映的林绿家园小区每天清运作业时间为早晨6点20分左右，符合相关清运作业要求，清运作业过程中产生的声音为车辆机械声响，无人为噪音产生。为切实提高市民满意度，分公司经过研究，决定对该条线路的作业时间进行调整，自1月25日起将该小区作业时间调整至9点30分左右。感谢您对绿化市容工作的关心与支持！上海市杨浦区绿化和市容管理局2024年1月26日
违章搭建问题,上海市徐汇区人民政府龙华街道办事处,2024-01-26,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=F6FF59DBEB984FA18FF706A5426A8A02,违章搭建问题,2023-12-07,"本人反映,天钥桥南路*弄*号楼后，违章搭建工棚，存放易燃易爆物品，散发难闻气味。本人认为,该违建及存在物品有消防风险，散发气味危害居民尤其是孕妇健康。本人要求,立即拆除违章工棚，并处理存放物品。",2024-01-26,上海市徐汇区人民政府龙华街道办事处,刘**：您反映的信访事项本机关已受理。经研究，现答复如下：经核实，您所反映的情况确实存在，街道社区管理办已责令当事方拆除工棚。目前，天钥桥南路*弄*号楼附近的工棚已拆除，相关易燃易爆物品已作妥善处置。感谢您对小区工作的关心。上海市徐汇区人民政府龙华街道办事处2024年1月25日
楼道内有大量野猫,上海市徐汇区人民政府漕河泾街道办事处,2024-01-26,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E8BCEF3EA36340E4AEF4D3D4AF640BFC,楼道内有大量野猫,2023-11-25,"本人反映,漕北小区*号楼楼道内经常出现一大两小三只猫。早上出门上班时尤其容易遇到，到处乱窜，对居民出行时的上下楼造成了很大的困扰。本人认为,过多野猫存在于楼道内对居民的安全造成了很大的影响，如果被猫吓到失足或者被猫抓了挠了都是很麻烦的事情。本人要求,希望物业或者相关人员可以搞清楚猫是否有主。如果有，希望猫的主人可以规范养猫，不要让猫在楼道里上上下下乱窜。如果没有，希望相关部门处理掉这三只猫，保障居民出行的安全。",2024-01-26,上海市徐汇区人民政府漕河泾街道办事处,金**：您反映的信访事项本机关已受理。经研究，现答复如下：漕河泾街道工作人员已联系徐房物业现场负责人，建议其针对居民反映的问题需加强物业管理。该物业表示将会在楼道内张贴热心提醒，后续会加强管理，保障居民日常生活环境，减少安全隐患的发生。感谢您对漕河泾街道工作的理解和支持。上海市徐汇区人民政府漕河泾街道办事处2024年1月16日
感谢徐汇人社为市民提供“无障碍”暖心服务,上海市徐汇区人力资源和社会保障局,2024-01-26,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A077D3386071466098D6076388078582,感谢徐汇人社为市民提供“无障碍”暖心服务,2024-01-02,在2023年末的最后一个工作日，上海徐汇区人力资源和社会保障局劳动维权接待大厅迎来了一位特殊的维权者。12月29日下午3点10分，一位拿了一张手写的A4纸，纸上密密麻麻写了很多内容的人走到大厅咨询台，就个人的劳动维权问题寻求帮助，经过细心了解，咨询台发现前来咨询的人是听觉障碍者。值班主任和现场工作人员耐心接待，用文字和听障患者自带的手机上的软件进行沟通。在负责老师细心专业的帮助下，问题得到了妥善处理。作为旁观者的我特地写一封感谢信，感谢当天下午上班的所有的领导和同事为这名听障人士所做的服务，祝当天所有帮助这个小哥哥的所有的领导和接待老师2024年事事如意。,2024-01-26,上海市徐汇区人力资源和社会保障局,蔡**先生：您提出的信访事项收悉。感谢您对我们工作的关心和支持，欢迎今后继续就您所关注的问题建言献策。祝身体健康，生活幸福！此复。上海市徐汇区人力资源和社会保障局2024年1月15日
