title,agency,date,links,标题,来信日期,信件内容,回复日期,回复单位,回复内容
绿化带黄土裸露,上海市嘉定区菊园新区管理委员会,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C7B2CB68725546BA95A048BD160FE776,绿化带黄土裸露,2023-08-14,本人反映小区北侧绿化带黄土裸露，没有花草，希望有关部门及时补种。,2023-09-08,上海市嘉定区菊园新区管理委员会,卢同志：您反映的信访事项已受理，现答复如下：经嘉莱社区居委会核处，已由物业通知绿化养护单位对破损绿化进行补种，现绿化已补种完毕。同时已要求物业加强日常绿化管理看护，发现绿化破损及时修缮。感谢您对我们工作的理解和支持。嘉定区菊园新区管理委员会2023年8月15日
蒲汇塘岸线环境提升工程事宜,上海市徐汇区建设和管理委员会,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=82FF0A9A3342410CAEBCC3D9B0B4DEE6,蒲汇塘岸线环境提升工程事宜,2023-07-01,反映蒲汇塘岸线环境提升工程二期（康惠苑）河岸改造工程侵占居民权益的情况。,2023-09-08,上海市徐汇区建设和管理委员会,马**同志：您反映的信访事项本机关已受理。经研究，现答复如下：您反映蒲汇塘岸线环境提升工程二期（康惠苑）河岸改造工程侵占居民权益的情况。本机关认为，康惠苑河道改造工程符合相关规定。经核实，您反映的地址为徐汇区蒲汇塘岸线环境提升工程二期康惠苑段，位于蒲汇塘左岸，康健路至三江口，岸段长度330米。经查阅相关土地管理文件、地籍资料和规划标准图纸，该处6米范围岸段属性为河道公共范围，非小区用地范围。因历史原因，康惠苑小区建成后一直使用至今。目前该段已纳入岸线改造项目内，将进行河道贯通整治改造，恢复其公共通道的功能。在编制改造方案时，建设单位会同属地街道充分考虑康惠苑小区居民实际情况，多次听取居民代表意见，对改造方案进行了多次优化，尽量减少改造对康惠苑小区居民生活的实际影响。感谢您对我委工作的关心、理解和支持。上海市徐汇区建设和管理委员会2023年8月10日
小区道路20多年未维修,上海西部企业集团有限公司,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=17CF38B3715B4611B2B05A4D9B0022C8,小区道路20多年未维修,2023-08-21,本人反映，绿杨路某弄小区道路20多年未维修，19年小区曾有过修缮，可是2条小区道路因为地铁原因未维修，物业说是应该地铁公司负责，地铁公司又说跟他们没有关系，所以从1998年小区建造入住到现在2023年，整整25年，我们楼下的小区道路坑坑洼洼，高低不平。本人要求，上半年小区围墙上贴了会来改造，至今都快半年了，没有任何动工的迹象，请尽快维修。,2023-09-08,上海西部企业集团有限公司,信访事项处理意见书周同志：您好！您来信反映的信访事项已收悉，现答复如下：经核实，因地铁施工原因导致该小区部分路面塌陷。现由政府出面，申通地铁公司出资，委托西部集团进行专项提升项目，真如物业已将相关施工材料上交申通公司，目前申通公司仍在审批中。此外，施工前还需与煤气公司对接测量小区部分管道位置的安全范围，故暂未最终确定具体施工日期。鉴于损坏的路面对居民日常出行存在安全隐患，现管理单位真如物业已对严重破损的部分路面做修缮处理。经与您联系得知您家中孩子曾因此摔倒，公司工作人员专门上门了解情况并致歉慰问，您表示满意。感谢您对我们工作的理解和支持！特此告知！上海西部企业集团有限公司2023年9月1日
长寿街道房办存在问题,上海市普陀区人民政府长寿路街道办事处,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E88178862E91418D9024E90AB3901F81,长寿街道房办存在问题,2023-07-03,本人反映，长寿路街道某小区业委会违规拒绝业主要求罢免业委会的动议，街道房办督促和指导业委会工作方面存在推诿、履职不力的现象，要求召开临时业主大会。,2023-09-08,上海市普陀区人民政府长寿路街道办事处,徐同志：您好！您于2023年7月3日致信反映的信访事项已受理，针对您反映的事项，现答复如下：经街道城运中心核查，您反映的普陀区某小区，由上海某物业公司提供物业服务。关于要求召开临时业主大会的事项。经核实，在某小区业委会张贴《关于召开临时业主大会罢免某小区第四届业委会的动议的复核结果的公告》前，街道城运中心已于2023年6月25日召开了某小区矛盾调处协商会，邀请区房管局、街道相关部门、居委会等参加会议，并于当天将会议精神通过居委会传达给业委会，要求业委会在公告中明确审核所涉及的人数、室号及相对应的建筑面积，并就相关审核结果做好解释工作，应确保沟通渠道畅通，保障业主的知情权。但6月26日业委会所张贴的公告中并未涉及上述相关要求内容。6月26日，业委会张贴公告后，小区部分业主要求业委会公开审核结果。针对此情况，街道城运中心多次联系居委会，并要求其搭建平台，请业委会就审核结果与小区业主做好沟通解释工作，但未得到业委会的响应。7月5日，居委会组织召开红色议事厅联席会议，街道城运中心、新长寿业委会工作事务所及某小区业委会等参加会议。会上，街道城运中心明确告知业委会，业委会应落实接待制度，听取业主的意见和建议，接受业主的咨询等。鉴于业主有知情权，对业主提出业委会应告知具体审核结果的要求，业委会应做好沟通解释工作，保持沟通渠道畅通。但业委会认为，其在公告中的表述已详尽，不愿再就审核结果作解释。业委会表示，业主可通过司法途径，撤销业委会决定。针对上述情况，街道城运中心将持续跟进相关事项进展情况，依法依规做好相关政策指导工作。感谢您对我街道工作的关心、理解和支持。特此答复。上海市普陀区人民政府长寿路街道办事处2023年8月14日
桃浦路菜场,上海市普陀区商务委员会,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0C5161F5A5924F3EADF60065774CC7D0,桃浦路菜场,2023-09-04,本人反映，桃浦路附近大型商超关门，附近菜场又在改造。很多菜摊都走了，买东西非常不方便。本人认为，菜场改造应该做好衔接购买工作。希望针对民生菜场和商超做好保障。,2023-09-08,上海市普陀区商务委员会,信访事项处理意见书连同志：您好！您反映的信访事项已受理。经研究，现答复如下：经查，按照15分钟生活圈的标准，您居住的桃浦路附近现有芝川路标准化菜市场，可以满足周围居民买菜需求。我委将该信息提供给您，您表示认可。同时，我委也将积极多方协调，力争加快相关菜场的改造进度。感谢您对我们工作的理解支持。上海市普陀区商务委员会2023年9月5日
小区业委会存在问题,上海市普陀区人民政府长寿路街道办事处,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=019F4C555EEC45ECBCFFED7ADD0FC91D,小区业委会存在问题,2023-07-11,本人反映，长寿路街道某小区业委会违规拒绝业主要求罢免业委会的动议，街道房办督促和指导业委会工作方面存在推诿、履职不力的现象，要求召开临时业主大会。,2023-09-08,上海市普陀区人民政府长寿路街道办事处,劳同志：您好！您于2023年7月11日致信反映的信访事项已受理，针对您反映的事项，现答复如下：经街道城运中心核查，您反映的普陀区某小区，由上海某物业公司提供物业服务。关于要求召开临时业主大会的事项。经核实，在某小区业委会张贴《关于召开临时业主大会罢免某小区第四届业委会的动议的复核结果的公告》前，街道城运中心已于2023年6月25日召开了某小区矛盾调处协商会，邀请区房管局、街道相关部门、居委会等参加会议，并于当天将会议精神通过居委会传达给业委会，要求业委会在公告中明确审核所涉及的人数、室号及相对应的建筑面积，并就相关审核结果做好解释工作，应确保沟通渠道畅通，保障业主的知情权。但6月26日业委会所张贴的公告中并未涉及上述相关要求内容。6月26日，业委会张贴公告后，小区部分业主要求业委会公开审核结果。针对此情况，街道城运中心多次联系居委会，并要求其搭建平台，请业委会就审核结果与小区业主做好沟通解释工作，但未得到业委会的响应。7月5日，居委会组织召开红色议事厅联席会议，街道城运中心、新长寿业委会工作事务所及某小区业委会等参加会议。会上，街道城运中心明确告知业委会，业委会应落实接待制度，听取业主的意见和建议，接受业主的咨询等。鉴于业主有知情权，对业主提出业委会应告知具体审核结果的要求，业委会应做好沟通解释工作，保持沟通渠道畅通。但业委会认为，其在公告中的表述已详尽，不愿再就审核结果作解释。业委会表示，业主可通过司法途径，撤销业委会决定。针对上述情况，街道城运中心将持续跟进相关事项进展情况，依法依规做好相关政策指导工作。感谢您对我街道工作的关心、理解和支持。特此答复。上海市普陀区人民政府长寿路街道办事处2023年8月15日
居民坐在非机动车停车场聊天,上海市嘉定区菊园新区管理委员会,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7994CAC626CE439298F24470F553F880,居民坐在非机动车停车场聊天,2023-08-10,本人反映，小区里很多居民坐在非机动车停车场聊天，导致停车不方便，希望可以制止。,2023-09-08,上海市嘉定区菊园新区管理委员会,孙同志：您反映的信访事项已受理，现答复如下：经嘉宜社区居委会核处，已安排社区志愿者在夜间对非机动车停车场进行引导有序停车和停车秩序的疏导，减少停车处逗留时间及避免人员聚集，方便其他居民停车，消除安全隐患，同时引导居民前往小区活动室、凉亭等公共活动区活动。感谢您对我们工作的理解支持。嘉定区菊园新区管理委员会2023年8月11日
关于劳动关系纠纷问题,上海市浦东新区人力资源和社会保障局,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9AA396484D3148C28F797D2569EC50B6,关于劳动关系纠纷问题,2023-07-06,"本人反映,公司在本人无任何违纪、过失的前提下，违法解除劳动合同且不支付赔偿金。本人已依法申请仲裁，但是仲裁过程漫长。本人认为,单位违法成本低，仲裁时间长。本人要求,请领导关注此事，加快推进仲裁进度，谢谢！",2023-09-08,上海市浦东新区人力资源和社会保障局,夏同志：您反映的信访事项已受理。经研究，现答复如下：经核实，您已就反映的事项至浦东新区劳动人事争议联合调解中心申请维权，目前案件因调解不成将转入仲裁程序，开庭通知等法律文书已寄出，您已签收。感谢您对我们工作的关心、理解和支持。上海市浦东新区人力资源和社会保障局2023年8月17日
关于小区施工问题,上海市浦东新区人民政府洋泾街道办事处,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A855C19372234C9DA790C228129B78A7,关于小区施工问题,2023-06-26,6月11日上午，有施工方在小区垃圾厢房前开挖排污池，距离单元楼仅数米，该工程未有任何单位明确告知小区业主该工程选址，更未按正常的流程进行征询、未向小区所在居委和业委会递交工程说明，未获得业主大会征询小区居民意见通过。我们严正要求：施工方必须严格按照项目建设要求进行雨污水管道及管井的更换，不得借机擅改、随意调整。,2023-09-08,上海市浦东新区人民政府洋泾街道办事处,信访事项答复意见书史同志：您反映您所在小区雨污混接改造工程设置污水格栅池问题的信访事项本机关已受理。现答复如下：经了解，小区雨污改造工程施工排管方案于2023年春节前张贴至各小区宣传栏公示，您反映新设污水格栅池作为污水管附属设施位于原公示排管路径上，前期施工过程中30-34号居民因距离过近等原因不同意在原图纸位置开挖（33-32号楼北侧），后经设计现场排查及施工单位物探确认，同时综合考虑物业车辆日常维护便利，调整位置至现垃圾厢房前，该位置同样位于年前排管公示线路上，没有额外变更排管线路。因您所在小区原为合流小区，本次雨污施工改造为分流小区，新污水管直排接入市政管道必须设置污水格栅池。部分居民将其与小区老旧化粪池搞混造成误解。已通过居委6月中旬在周边楼门洞内进行公示张贴，通过电话答疑等方式向居民进行解释工作。7月已完成该污水格栅池施工。感谢您对社区工作的理解和支持。上海市浦东新区人民政府洋泾街道办事处2023年8月17日
铁路西站增设菜场,上海市普陀区商务委员会,2023-09-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0293D4D452AA438DA4526F47D12D972E,铁路西站增设菜场,2023-09-06,本人反映，铁路西站附近没有正规菜市场，对买菜居民很不方便，希望建正规菜场。,2023-09-08,上海市普陀区商务委员会,燕同志：您好！您反映的信访事项本机关已受理。经研究，现答复如下：经核实，按照15分钟生活圈的标准，您居住地铁路西站附近建有芝川路标准化菜市场，可满足您日常买菜需求。区商务委将持续关注居民买菜问题，与相关部门协调优化购物环境。感谢您对信访工作的关心、理解和支持。上海市普陀区商务委员会2023年9月6日
