title,agency,date,links,标题,来信日期,信件内容,回复日期,回复单位,回复内容
小区公共收益,上海市闵行区人民政府古美路街道办事处,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9A018E65F5DC4A1EAA37E3542373BABB,小区公共收益,2023-08-31,本人反映，小区公共收益管理非常混乱。本人认为，应该切实遵守（上海市住宅物业管理规定），维护好广大业主的权益。本人要求，对于违规行为做出处理和解释。,2023-10-08,上海市闵行区人民政府古美路街道办事处,周同志：您好！您信访反映的事项收悉。经了解，根据上海住宅物业管理规定，物业公司按规定定期在小区公示栏处公示公共收益、维修资金账目清单。第三季度账目维修资金账目以及公共收益已在7月21日进行了公布，如对账目有疑问，可至业委会了解查询。感谢您对古美社区工作的理解和支持。特此告知。
电商平台购票退款问题,上海市闵行区文化和旅游局,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7DFA9169F902480FAD096F4EB1DAC14F,电商平台购票退款问题,2023-08-16,"本人反映,7月8日在平台购买一张演唱会门票，致电客服取消订单，申请退款被告知要支付30%手续费，我不同意，原因对方违约发货在先，不属于恶意取消订单。本人要求,平台公司无条件退款。",2023-10-08,上海市闵行区文化和旅游局,杨同志：您反映的信访事项本机关已受理。经研究，现答复如下：您反映您于2023年7月8日在平台网购了演唱会门票，但商家直到8月9日仍未发货。您要求退费被告知需扣除30%手续费，来信要求该平台无条件退款。我局在接到您的信访事项后转交局相关科室核实协调。经科室工作人员多次与相关方协调，平台同意为您办理全额退款。感谢您对我局工作的理解和支持。特此告知。
美丽家园小区里，“不美丽”的公共区域,上海市虹口区人民政府曲阳路街道办事处,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7AB28B5EE43745C18A8787CA388591DB,美丽家园小区里，“不美丽”的公共区域,2023-08-10,本人反映，运三小区105弄14号楼和15号楼之间的空地，作为便民的公共晾晒区，杂草丛生、脏乱无章。本人认为，该区域已放置了公共晾衣架，为老小区的低楼层居民解决了晾晒难的问题，现在该区域遍地杂草、衣架凌乱。本人要求，物业或相关责任部门，对该空地进行除草、地面铺设、衣架归置。,2023-10-08,上海市虹口区人民政府曲阳路街道办事处,刘女士：您反映的事项我们于2023年8月18日受理，并发出受理告知书。经了解，该处空地原为绿化带，日常被居民用于堆放杂物和晾晒衣物。城建中心已要求物业对该处空地进行清理，活动衣架摆放整齐，并安排保安巡逻，发现问题及时整改。如要将该处空地进行地面铺设改为公共晾晒区，须按照《上海市住宅物业管理规定》向业委会提出，并经业主大会征询通过后实施。感谢您对曲阳路街道社区工作的理解和支持。上海市虹口区人民政府曲阳路街道办事处2023年9月8日
大连西路凌晨修路扰民,上海市虹口区建设和管理委员会,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B3CB2C3272C849FC863361DE7EB22108,大连西路凌晨修路扰民,2023-09-12,"本人反映,大连西路外国语大学外面修路，每天晚上12点到凌晨都响个不停，睡都睡不着本人认为,不应该凌晨修路本人要求,停止扰民",2023-10-08,上海市虹口区建设和管理委员会,告知书姜同志：您于2023年9月12日信访反映的事项收悉，现告知如下：经了解，该处为架空线入地杆箱整治工程，建设单位为中电科公共设施运营管理有限公司，已办理夜间施工备案。考虑到大连西路（东体育会路—西体育会路）白天交通压力较大，交警部门要求在夜间施工，我委已要求施工单位合理安排工序，采取有效降噪措施，尽最大努力降低对居民生活的影响。特此告知。上海市虹口区建设和管理委员会2023年9月26日
违规施工问题,上海市徐汇区人民政府虹梅路街道办事处,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5289F624D94141068865153E23A3DCAF,违规施工问题,2023-09-11,原龙子汇公寓正在进行拆迁，拆迁队周六周日早六点半开始施工，晚上十点半还在施工，严重影响了居民日常生活和秩序，噪音之大难以忍受，一捆钢管直接从楼上扔下来，完全不管周边居民的感受，大家深受影响。要求，应禁止周六周日施工迁拆，工作日也应完全按照施工时间进行。,2023-10-08,上海市徐汇区人民政府虹梅路街道办事处,信访事项处理意见书李**同志：您反映的信访事项本机关已受理。经研究，现答复如下：您网信反映：原龙子汇公寓正在进行拆迁，拆迁队周六周日早六点半开始施工，晚上十点半还在施工，严重影响了居民日常生活和秩序，噪音之大难以忍受。要求禁止周六周日施工迁拆，工作日也应完全按照施工时间进行。街道第一时间联系项目施工队，明确要求施工方在国家规定的施工时间段内施工，同时要降低施工过程中产生的噪音，减少对周边居民生活的影响。截止本周，外部拆除工作已基本结束，目前内部正在改造。下一步，街道也将安排人员对施工地点进行巡查，最大程度减少施工扰民问题。感谢您对辖区工作的理解和支持。上海市徐汇区人民政府虹梅路街道办事处2023年9月25日
因外墙改造，导致玻璃裂开,上海市徐汇区人民政府虹梅路街道办事处,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EDDD6E8537754F52AE126E41181284C1,因外墙改造，导致玻璃裂开,2023-09-19,小区正在进行外墙改造，我家北面窗户因为外墙改造，野蛮施工，导致房间内玻璃碎，万一玻璃掉下去，高空坠物，责任重大。希望相关部门对玻璃进行更换维修。,2023-10-08,上海市徐汇区人民政府虹梅路街道办事处,答复意见书陈**同志：您反映的信访事项本机关已受理。经研究，现答复如下：您网信反映：小区正在进行外墙改造，您家北面窗户因为外墙改造，野蛮施工，导致房间内玻璃碎，存在高空坠物风险，要求解决。接投诉后，居委干部会同物业公司工作人员、施工方负责人一起上门查看。经查，*号*室北房间阳台的玻璃是有破碎。经勘察这两个地方均是由外墙施工造成的玻璃碎。与施工方协商讨论，最终达成一致，由施工方负责帮居民进行维修。感谢您对社区工作的理解和支持。上海市徐汇区人民政府虹梅路街道办事处2023年9月21日
道路安全问题,上海市徐汇区人民政府虹梅路街道办事处,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=F14CFCD4217345649AADCF1FC82FF8CD,道路安全问题,2023-08-30,徐汇区永兆豪庭和航天新苑之间的一条无名道路，车行道南侧无行人道，且道路南半边放了一排花坛，占用道路面积行人只能走在车行道北侧或者北侧行人道上，而北侧行人道被各种设施占用，比如轮椅下坡的栏杆扶手，比如台阶，导致行人只能走在公路上。车来车往不安全！本人认为，南侧的花坛撤掉，最好能够做出一条行人道；应当对北侧居民楼下的商户或者门前整改，不要占用人行道。要求，尽快整改。,2023-10-08,上海市徐汇区人民政府虹梅路街道办事处,答复意见书娄*同志：您反映的信访事项本机关已受理。经研究，现答复如下：您网信反映永兆豪庭和航天新苑之间一条无名道路的整改问题。经查，小区附近的道路属园区内部道路，属背街小巷。小巷通道南侧原摆放的花箱是为防止车辆违停进行设置，后因居民反映花箱影响人车通行而将前端花箱全部移走。小巷北侧无障碍通道是根据全市无障碍通道标准设置的，目前已打通斜坡后端通道，以缓解高峰期间人员通行。针对该路段存在的问题，街道目前正在制定整体提升方案，计划将该路段的人行通道进行整体拓宽，为居民及园区员工日常出行提供更大的空间。感谢您对虹梅路街道工作的理解和支持。上海市徐汇区人民政府虹梅路街道办事处2023年9月14日
请彻底清理徐汇区凌云新村楼道电动自行车、楼道杂物及占用消防通道杂物,上海市徐汇区人民政府凌云路街道办事处,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B99BA0E790F140B0AD7BF89E62C96FD4,请彻底清理徐汇区凌云新村楼道电动自行车、楼道杂物及占用消防通道杂物,2023-09-10,本人反映，徐汇区凌云新村存在楼道停放电动自行车、堆放杂物及占用消防通道等问题，严重威胁了居民安全。本人要求，凌云新村居委会、物业彻底清理徐汇区凌云新村存在楼道停放的电动自行车、堆放的杂物等。,2023-10-08,上海市徐汇区人民政府凌云路街道办事处,魏*同志：您反映的信访事项本机关已受理。经研究，现答复如下：您反映凌云新村存在楼道停放电动自行车、堆放杂物及占用消防通道等问题。经查，目前凌云新村正在实施“三旧”变“三新”项目，物业管理存在不到位等情况，街道已督促小区物业加强管理，结合“三旧”变“三新”项目，统筹处理楼道内的堆物等问题。感谢您对凌云街道工作的关心、理解和支持。上海市徐汇区人民政府凌云路街道办事处2023年9月27日
广场舞噪音扰民,上海市嘉定区菊园新区管理委员会,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B7E1CD94985B4F09A9B9624683D9F0E8,广场舞噪音扰民,2023-09-11,本人反映，信业广场广场舞和老年卡拉ok噪音扰民，广场舞团队和卡拉ok团队一直使用高功率扩音设备，严重影响周围居民和附近行人，本人要求，相关部门采取有效措施，不是不让老年人跳广场舞，是控制在合情合理的分贝内，互不干扰。,2023-10-08,上海市嘉定区菊园新区管理委员会,朱同志：您好！您于2023年9月11日信访反映的事项收悉。经嘉邦社区居委会核处，已协调信业购物中心管理方及城运队员，在每日广场舞高峰时段，开展常态化巡逻，发现扩音设备音量过大时，及时进行劝说。感谢您对我们工作的理解和支持。特此告知。上海市嘉定区菊园新区管理委员会2023年9月25日
楼盘问题,上海市嘉定区建设和管理委员会,2023-10-08,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=028DE9801CD64A2EAC9D6E6B82DA4336,楼盘问题,2023-09-04,"本人反映,2023 年 9 月 1 日开发商上海客户服务微信公众号上发出的《大境初呈 共鉴美好 |温馨告知函》的文章内容开放参观。本人认为,本次参观不具备预看房的前提条件，本人要求及时制止，必须要求金地整改好所有质量问题后，再以正规流程向政府申报预看房。",2023-10-08,上海市嘉定区建设和管理委员会,施同志：您信访反映的事项已收悉，我委高度重视，现就您反映的情况答复如下：经核实，依据上海市建设工程安全质量监督总站《本市新建住宅工程“业主房屋质量预看房”制度(试行)》和《“业主房屋质量预看房”工作指南》等文件要求，我委第一时间约谈开发商，要求取消原定的预看房活动，并要求建设单位严格比对预看房工作的前提条件和实施要求，切实履行建设单位质量首要责任，抓紧完成相关工作，严格程序，做好充分准备组织开展好预看房工作。该项目于9月13日至9月20日启动预看房，时间结束后，涉及部分业主没有看房的，我委也督促开发商进行一对一联系。感谢您对我们工作的理解和支持！特此回复。上海市嘉定区建设和管理委员会2023年9月22日
